WKT,ID,Use_Cat,Cons_Frame
POINT (423206.94494879065 8449674.94010782),1340,Residential,Masonry
POINT (423200.93814583344 8449696.78077337),1341,Outbuilding,Masonry
POINT (423166.1024522835 8449673.869790396),1342,Residential,Masonry
POINT (423157.81146115705 8449694.143852029),1343,Outbuilding,Masonry
POINT (426930.917508266 8449400.070749639),17858,,
POINT (426286.4324475112 8449659.680287931),2755,,
POINT (426861.8257501436 8449489.435781732),17607,,
POINT (426281.19244782 8449636.945549307),921,,
POINT (426340.7892596133 8449528.73601139),14855,,
POINT (426645.41709653835 8449515.323483827),3302,,
POINT (426473.9647377964 8449636.9888355),14746,,
POINT (426514.35323323065 8449527.81266267),17596,,
POINT (426216.41174201434 8449739.387902424),8387,,
POINT (426273.963880993 8448794.661073273),16239,,
POINT (426303.77174381964 8449637.453966303),14001,,
POINT (426332.84773210646 8449516.020839812),12167,,
POINT (426717.299660869 8449335.76418499),8647,,
POINT (426251.1351095851 8449572.607866887),12348,,
POINT (426623.9272490115 8449601.313879587),12617,,
POINT (426476.2168336686 8449656.037772246),18851,,
POINT (426516.1869172095 8449540.290867189),18218,,
POINT (426805.38020919845 8449303.324600931),18102,,
POINT (426823.7705815472 8449388.616784768),17225,,
POINT (426301.5730061383 8449651.970715623),9159,,
POINT (426584.1169763895 8449720.594457362),13110,,
POINT (426545.08316720504 8449523.311068594),13010,,
POINT (426258.54333741445 8449279.867736597),14018,,
POINT (426599.7041481739 8448619.622647267),4472,,
POINT (426401.59099133743 8449371.242723584),17173,,
POINT (426833.15019602585 8449057.932466168),13571,,
POINT (427401.0129615626 8449403.825427879),4531,,
POINT (426609.0852502937 8449526.41930752),7319,,
POINT (426455.3464447222 8449630.512582414),10308,,
POINT (426817.4835900628 8449061.39576697),18568,,
POINT (426231.23707829486 8448688.623974973),3841,Residential,Masonry
POINT (425972.25354870997 8448758.647352764),14727,Residential,Masonry
POINT (431954.91087623674 8448050.803669136),3873,Outbuilding,Masonry
POINT (431948.82271420147 8448070.465412581),4130,Residential,Masonry
POINT (431953.31811195635 8448079.27982483),13825,Outbuilding,Masonry
POINT (431977.35666865774 8448026.390084913),6108,Residential,Masonry
POINT (432012.2149870973 8448057.254232848),290,Outbuilding,Masonry
POINT (432019.073481136 8448044.90185354),6445,Residential,Masonry
POINT (431946.2140556305 8448012.038524022),518,Residential,Masonry
POINT (432006.1983886421 8448044.4413257),12827,Residential,Masonry
POINT (431963.7386702433 8448011.971745668),8111,Residential,Masonry
POINT (431989.98773698707 8448125.962592665),14990,Outbuilding,Masonry
POINT (431796.6706607916 8448203.591541605),1684,Fale,Timber
POINT (431802.6371797567 8448195.75933574),16978,Fale,Timber
POINT (432387.5577793585 8448090.094613928),8656,Residential,Masonry
POINT (432080.19859023264 8448106.173715176),19796,Outbuilding,Masonry
POINT (432382.8849069451 8448038.7959794),8376,Residential,Masonry
POINT (432385.28248351865 8448024.479098883),12786,Outbuilding,Masonry
POINT (432020.4770481424 8448121.288261797),5818,Outbuilding,Masonry
POINT (432012.952869778 8448077.778055092),12548,Outbuilding,Masonry
POINT (432043.24466328026 8448119.71539448),2570,Residential,Masonry
POINT (432483.26108393795 8448094.55027537),15699,Outbuilding,Masonry
POINT (432375.6376405887 8448090.423453394),16757,Outbuilding,Masonry
POINT (432474.33599673683 8448068.318422085),13192,Outbuilding,Masonry
POINT (432481.12376523396 8448054.293803144),11864,Outbuilding,Masonry
POINT (432494.1717420491 8448116.005548822),1391,Outbuilding,Masonry
POINT (431999.9383707682 8448075.011563562),17940,Residential,Masonry
POINT (432043.82055799675 8448105.453466244),1274,Residential,Masonry
POINT (432093.4041570249 8448121.808752732),1830,Residential,Masonry
POINT (432122.69746332197 8448129.453238588),19761,Outbuilding,Masonry
POINT (432405.14442030137 8448118.734183548),8337,Residential,Masonry
POINT (432128.5914337036 8448120.232980302),14333,Residential,Masonry
POINT (432438.4694726764 8448123.54381732),6714,Residential,Masonry
POINT (431889.6617539047 8448151.719086166),17465,Residential,Masonry
POINT (431911.0028666079 8448138.741906462),9572,Residential,Masonry
POINT (431916.1220836499 8448324.366098559),14493,Residential,Masonry
POINT (432022.7364272711 8448104.443902435),51,Residential,Masonry
POINT (432219.0535177289 8448086.322277775),16567,Residential,Masonry
POINT (431900.8659327048 8448125.93804534),11472,Outbuilding,Masonry
POINT (431878.81282504275 8448135.20677997),18751,Outbuilding,Masonry
POINT (432026.5855274019 8448093.321394242),8132,Outbuilding,Masonry
POINT (432061.54708051676 8448120.946212277),16662,Outbuilding,Masonry
POINT (432207.91866640444 8448099.681451416),10644,Outbuilding,Masonry
POINT (432383.58260592475 8448114.016142838),18500,Outbuilding,Masonry
POINT (432884.76725182065 8449024.422613343),11348,,
POINT (433216.92266716505 8448823.323008964),13103,,
POINT (432862.0695404864 8449034.482932508),19614,,
POINT (432802.65939347545 8448923.75513855),19462,,
POINT (433215.37249707006 8448841.990585323),1090,,
POINT (433104.38828274317 8449019.331211045),14946,,
POINT (433114.44896327954 8449891.473422859),4536,,
POINT (432814.0502003037 8448933.831658226),14479,,
POINT (432847.83155214327 8449036.159224022),3182,,
POINT (433081.7435489778 8449179.796570431),2804,,
POINT (432961.5088082892 8448938.354661882),583,,
POINT (433070.1722086041 8448659.36661085),18506,,
POINT (432978.1255059281 8448816.461341223),2793,,
POINT (433072.91482244735 8449191.01301247),9008,,
POINT (432966.34409190726 8448930.65029997),15899,,
POINT (432951.92992169695 8448882.771608178),7660,,
POINT (432937.4845184694 8449084.971343188),10247,,
POINT (432801.4786241143 8448936.428109078),10306,,
POINT (432670.2299210272 8448990.317393897),7315,,
POINT (433202.7327495556 8448828.955171842),12338,,
POINT (432560.3382546495 8449108.233185504),12408,,
POINT (432935.079378601 8449093.461483644),16787,,
POINT (432916.130430367 8449103.71529993),14050,,
POINT (433086.51142765913 8448583.449198525),18178,,
POINT (433020.55019509717 8448715.26283498),54,,
POINT (432871.62247894955 8449038.896198682),19796,,
POINT (433204.25670735544 8448846.99278571),9226,,
POINT (432846.4800006506 8449028.04084458),8025,,
POINT (432942.27719666454 8448806.381199425),8123,,
POINT (432943.37484598137 8448875.620840074),6323,,
POINT (433042.67982852465 8448709.613861227),13244,,
POINT (432963.91610975843 8448807.711480394),13098,,
POINT (432931.76883699454 8449101.138382567),12742,,
POINT (432873.59918997553 8449014.032572843),17662,,
POINT (433202.8175217268 8448839.64783426),7979,,
POINT (432793.8107019646 8449719.011743674),12194,,
POINT (432704.2068555562 8449119.302872006),16623,,
POINT (433014.96380073123 8448703.484829074),6127,,
POINT (433280.32239902724 8448810.695966342),16161,,
POINT (433228.0213052487 8448833.243591378),4024,,
POINT (433166.7356975571 8448970.107344737),2735,,
POINT (433291.29593234346 8448735.399310188),5140,,
POINT (433288.099932782 8448800.29642067),6524,,
POINT (433150.4531169558 8448969.14387411),19686,,
POINT (433163.20836990705 8448955.47139677),5056,,
POINT (433102.9897655314 8448884.003097769),15281,,
POINT (433246.2198159567 8449443.005545603),11939,,
POINT (433295.97895115433 8448725.3527674),19789,,
POINT (433240.17842461483 8449440.788772732),14788,,
POINT (433289.3521429524 8448810.130299998),1662,,
POINT (433170.69350317173 8448975.37167181),5206,,
POINT (433086.580203769 8448888.867521478),13884,,
POINT (433104.06594549277 8449031.637209663),10567,,
POINT (432564.3941583377 8449119.08932708),16471,,
POINT (423098.052718442 8449751.178314187),1344,Residential,Masonry
POINT (423036.50463175063 8449804.599973781),1345,Outbuilding,Masonry
POINT (423026.4485567638 8449841.981825521),1346,Residential,Masonry
POINT (422940.0821348627 8449885.220961452),1347,Residential,Masonry
POINT (422928.0646722806 8449909.126944363),1348,Residential,Masonry
POINT (422945.59568643605 8449918.058819877),1349,Outbuilding,Masonry
POINT (422939.4165375748 8449939.389000282),1350,Outbuilding,Masonry
POINT (422943.791961319 8449903.828345679),1351,Outbuilding,Masonry
POINT (422906.63121467066 8449906.559680812),1352,Outbuilding,Masonry
POINT (422929.82843031536 8449923.733658731),1353,Outbuilding,Masonry
POINT (422881.91529378627 8449929.323322875),1354,Outbuilding,Masonry
POINT (422860.47317946283 8449928.364876175),1355,Residential,Masonry
